ID,,Country,Year,Gender,Child Mortality,Total Population,Mortality Rate
2,12649,India,1967,Total,1463821,520400.577,2.812873515
3,12650,India,1968,Total,1463610,531513.834,2.75366304
4,12651,India,1969,Total,1463249,543084.333,2.694331085
5,12648,India,1966,Total,1462365,509631.509,2.869455625
6,12652,India,1970,Total,1461707,555189.797,2.632805948
7,12647,India,1965,Total,1459964,499123.328,2.92505663
8,12653,India,1971,Total,1457539,567868.021,2.566686177
9,12646,India,1964,Total,1457023,488848.139,2.980522751
10,12640,India,1958,Total,1455508,433380.978,3.358495351
11,12645,India,1963,Total,1455021,478825.602,3.038728493
12,12644,India,1962,Total,1454045,469077.191,3.099798984
13,12641,India,1959,Total,1453575,441798.571,3.290130606
14,12643,India,1961,Total,1453045,459642.166,3.161252617
15,12642,India,1960,Total,1452711,450547.675,3.224322487
16,12654,India,1972,Total,1452012,581087.255,2.4987848
17,12655,India,1973,Total,1443231,594770.136,2.426535753
18,12656,India,1974,Total,1431296,608802.595,2.351001805
19,12657,India,1975,Total,1414447,623102.9,2.270005484
20,12658,India,1976,Total,1392610,637630.085,2.18404061
21,12659,India,1977,Total,1366893,652408.766,2.095148121
22,12660,India,1978,Total,1338486,667499.815,2.005223028
23,12661,India,1979,Total,1306913,682995.348,1.913502052
24,12662,India,1980,Total,1275890,698952.837,1.825430748
25,12663,India,1981,Total,1248228,715384.997,1.744833908
26,12664,India,1982,Total,1223336,732239.498,1.670677426
27,12665,India,1983,Total,1201976,749428.958,1.603855825
28,12666,India,1984,Total,1181110,766833.411,1.540243269
29,12667,India,1985,Total,1160025,784360.012,1.478944595
30,12668,India,1986,Total,1137063,801975.25,1.417828044
31,12669,India,1987,Total,1111264,819682.095,1.3557256
32,12670,India,1988,Total,1082141,837468.938,1.292156581
33,12671,India,1989,Total,1050655,855334.675,1.228355439
34,12672,India,1990,Total,1019133,873277.799,1.167020393
35,12673,India,1991,Total,988024,891273.202,1.108553469
36,12674,India,1992,Total,957292,909307.018,1.052770936
37,12675,India,1993,Total,927014,927403.866,0.999579616
38,12676,India,1994,Total,895948,945601.828,0.947489708
39,12677,India,1995,Total,863810,963922.586,0.896140429
40,12678,India,1996,Total,830640,982365.248,0.845551084
41,12679,India,1997,Total,796917,1000900.028,0.796200397
42,12680,India,1998,Total,762629,1019483.586,0.748054221
43,12681,India,1999,Total,727586,1038058.154,0.700910635
44,12682,India,2000,Total,691689,1056575.548,0.65465172
45,12683,India,2001,Total,656003,1075000.094,0.610235295
46,12684,India,2002,Total,621161,1093317.187,0.568143451
47,12685,India,2003,Total,586696,1111523.146,0.527830664
48,12686,India,2004,Total,552531,1129623.466,0.489128472
49,12687,India,2005,Total,518842,1147609.924,0.452106582
50,12688,India,2006,Total,485045,1165486.291,0.416173921
51,12689,India,2007,Total,451452,1183209.471,0.38154867
52,12690,India,2008,Total,417904,1200669.762,0.348059069
53,12691,India,2009,Total,385002,1217726.217,0.316164664
54,12692,India,2010,Total,352988,1234281.163,0.285986703
55,12693,India,2011,Total,321974,1250287.939,0.25751988
56,12694,India,2012,Total,292185,1265780.243,0.230833908
57,12695,India,2013,Total,264339,1280842.119,0.206379066
58,12696,India,2014,Total,238505,1295600.768,0.184088344
59,12697,India,2015,Total,215237,1310152.392,0.164283942
60,12698,India,2016,Total,194223,1324517.25,0.146636822
61,12699,India,2017,Total,175640,1338676.779,0.131204188
62,12700,India,2018,Total,159551,1352642.283,0.117955059
63,12701,India,2019,Total,145720,1366417.756,0.106643813
